,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
0,-0.735591621701328,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,0.45527431502984744,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1308.89,0.008031716762998551,85000
1,-0.5123272361754259,-0.04374911849207479,0.34986577489100246,-0.914553067122716,0.8696511352843243,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,0.1115690402574903,129900
2,0.3942990211181572,-0.04374911849207479,1.2022174167796287,0.9170032716551278,-0.7189315926247088,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,0.8762757477203472,171900
3,-0.6966058046793738,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,-1.7396549814731244,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,-0.36776026053786093,109000
4,-0.44316813460738674,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,0.45527431502984744,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,0.29766093801854954,139000
5,-0.343814423534675,-0.04374911849207479,0.34986577489100246,-0.914553067122716,-0.7189315926247088,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,0.31286397736845784,140000
6,0.4995518733072432,-0.04374911849207479,-0.6472329056664874,0.9170032716551278,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,94,-0.05059747827360879,-0.4967560828900462,1827.79,1.8889854005031317,260000
7,0.7818265699748714,-0.04374911849207479,0.34986577489100246,0.9170032716551278,1.8060413579271255,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,94,-0.05059747827360879,-0.4967560828900462,1827.79,2.2286824504801284,298000
9,0.2824243512806194,-0.04374911849207479,-0.6472329056664874,0.9170032716551278,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,94,-0.05059747827360879,-0.4967560828900462,1827.79,1.860804191683747,257000
10,0.7643852316150854,-0.04374911849207479,0.34986577489100246,0.9170032716551278,-0.7189315926247088,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,94,-0.05059747827360879,-0.4967560828900462,1827.79,2.0742244504610987,280000
11,-0.045483650365724555,-0.04374911849207479,-0.6472329056664874,-0.914553067122716,1.8060413579271255,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,0.0828606432272857,131400
12,0.539952275052453,-0.04374911849207479,1.2022174167796287,0.9170032716551278,-0.7189315926247088,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,0.8574179660746492,175000
13,0.7818265699748714,-0.04374911849207479,0.34986577489100246,0.9170032716551278,0.8696511352843243,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,1.150253056485152,195000
14,0.5198685282522274,-0.04374911849207479,0.34986577489100246,0.9170032716551278,0.45527431502984744,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,109,-0.7856857874811475,0.25682456218801847,1796.68,1.3467395222487883,205000
15,-0.735591621701328,-0.04374911849207479,0.34986577489100246,-0.914553067122716,0.45527431502984744,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1308.89,-0.4781086313390098,72000
16,-0.5123272361754259,-0.04374911849207479,0.34986577489100246,-0.914553067122716,-0.05210316191736873,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1308.89,0.7155271163290086,108000
18,-0.6966058046793738,-0.04374911849207479,0.34986577489100246,-0.914553067122716,-0.7189315926247088,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,0.4443793052054105,150000
19,-0.47744311677411894,-0.04374911849207479,0.34986577489100246,-0.914553067122716,-0.7189315926247088,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,0.4249646124802595,149000
20,-0.5123272361754259,-0.04374911849207479,0.34986577489100246,-0.914553067122716,0.45527431502984744,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,0.15520565052140908,135000
21,-1.0776389279426783,-0.04374911849207479,0.34986577489100246,-0.914553067122716,-0.7189315926247088,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,-0.05059747827360879,-0.4967560828900462,1827.79,-0.6588345116846224,100000
