,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,is_renewal_needed,is_new_development,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,has_parking,zip_codes_count,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio,buy_price
0,64.0,75.0,2.0,1.0,3.0,0.0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1308.89,0.3598468931690211,85000
1,70.0,75.0,3.0,1.0,4.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.3706837055012578,129900
2,103.0,75.0,4.0,2.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.4580671015428457,171900
3,65.0,75.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.3222610592871295,109000
4,72.0,75.0,2.0,1.0,3.0,0.0,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.3907206625553799,139000
5,75.0,75.0,3.0,1.0,1.0,1.0,0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.3923904089765567,140000
6,108.0,75.0,2.0,2.0,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,94,0.2553191489361702,21.619672131147546,1827.79,0.5985370310593668,260000
7,123.0,75.0,3.0,2.0,7.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1,94,0.2553191489361702,21.619672131147546,1827.79,0.6474281065091623,298000
9,98.0,75.0,2.0,2.0,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,94,0.2553191489361702,21.619672131147546,1827.79,0.5941601606311447,257000
10,122.0,75.0,3.0,2.0,1.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,94,0.2553191489361702,21.619672131147546,1827.79,0.6280809064498657,280000
11,85.0,75.0,2.0,1.0,7.0,0.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.3676571159706531,131400
12,110.0,75.0,4.0,2.0,1.0,0.0,0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.455741633338622,175000
13,123.0,75.0,3.0,2.0,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.4929450319785096,195000
14,109.0,75.0,3.0,2.0,3.0,0.0,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.5192911369859964,205000
15,64.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1308.89,0.3117145061846297,72000
16,70.0,75.0,3.0,1.0,2.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1308.89,0.4385395258577879,108000
18,65.0,75.0,3.0,1.0,1.0,0.0,1,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.4070489498246516,150000
19,71.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.4048605146105406,149000
20,70.0,75.0,3.0,1.0,3.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.3753166392200417,135000
21,56.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.2948916451014613,100000
22,72.0,75.0,3.0,1.0,1.0,1.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.2828552514238506,95000
23,56.0,75.0,3.0,1.0,1.0,0.0,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.306928038779072,105000
24,79.0,75.0,3.0,1.0,4.0,0.0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.4311217371798729,162000
25,56.0,75.0,3.0,1.0,3.0,0.0,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.3397545669907374,119000
27,79.0,75.0,4.0,1.0,4.0,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0,109,0.2018348623853211,25.850704225352118,1796.68,0.3706837055012578,129900
29,55.0,75.0,2.0,1.0,0.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.3167759972425716,109000
30,50.0,75.0,2.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.306928038779072,105000
31,97.0,75.0,2.0,2.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.5055055055055054,266122
32,93.0,75.0,2.0,2.0,7.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4568204568204568,228273
33,106.0,75.0,3.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4873054873054873,251569
34,103.0,75.0,3.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4663754663754663,235402
35,103.0,75.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,235172
36,103.0,75.0,3.0,2.0,5.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4672854672854672,236227
37,114.0,75.0,3.0,2.0,2.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4914004914004913,254710
38,103.0,75.0,3.0,2.0,6.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4668304668304668,235718
39,106.0,75.0,3.0,2.0,4.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4932204932204931,256115
40,113.0,75.0,3.0,2.0,0.0,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.5005005005005004,261989
41,115.0,75.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.5146055146055145,273353
42,129.0,75.0,3.0,2.0,7.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.5432705432705432,297621
43,115.0,75.0,3.0,2.0,6.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.5223405223405223,279778
44,103.0,75.0,3.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,235293
45,105.0,75.0,2.0,2.0,5.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4627354627354627,232695
46,105.0,75.0,3.0,2.0,5.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4668304668304668,235815
47,106.0,75.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4859404859404859,250356
48,105.0,75.0,3.0,2.0,6.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,235305
49,105.0,75.0,3.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,234990
50,103.0,75.0,3.0,2.0,2.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4668304668304668,235815
51,103.0,75.0,3.0,2.0,4.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4672854672854672,236227
52,105.0,75.0,3.0,2.0,4.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,234990
53,103.0,75.0,3.0,2.0,4.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,235293
54,114.0,75.0,3.0,2.0,3.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4895804895804895,253291
55,103.0,75.0,3.0,2.0,2.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4659204659204659,235172
56,106.0,75.0,3.0,2.0,2.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4891254891254891,252891
57,105.0,75.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4672854672854672,236154
58,103.0,75.0,3.0,2.0,1.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4672854672854672,236227
59,98.0,75.0,2.0,2.0,5.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4568204568204568,228208
60,105.0,75.0,3.0,2.0,2.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4663754663754663,235402
61,103.0,75.0,3.0,2.0,5.0,0.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,2197.8,0.4654654654654654,234927
62,45.0,75.0,2.0,1.0,1.0,0.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.2576882464615738,85000
66,54.0,75.0,3.0,1.0,3.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.2751957281744621,91957
67,85.0,75.0,4.0,2.0,2.0,0.0,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0,94,0.2553191489361702,21.619672131147546,1827.79,0.4168969082881513,155000
