,full_title,latitude,longitude
0,"calle de Godella, 64, San Cristóbal, Madrid",40.3431721,-3.6890907
1,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",40.3553618,-3.6976808
2,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",40.3577222,-3.6850285
3,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
4,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
5,"calle de Martinez Oviol, Los Rosales, Madrid",40.35099,-3.6884995
6,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
7,"calle de la Unanimidad, 67, Los Rosales, Madrid",40.3612968,-3.6916584
8,"calle de Anoeta, 63, Los Ángeles, Madrid",40.35101745,-3.701777508622853
9,"calle GODELLA, San Cristóbal, Madrid",40.3405118,-3.6881634
10,"calle San Macario, Los Rosales, Madrid",40.3525934,-3.6901698
11,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
12,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
13,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
14,"San Cristóbal, Villaverde, Madrid",40.3433537,-3.6878175
15,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
16,"Los Ángeles, Villaverde, Madrid",40.3562217,-3.6996388
17,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
18,"Butarque, Villaverde, Madrid",40.3364041,-3.6742402
19,"calle Villajoyosa, Los Rosales, Madrid",40.3561428,-3.6909651
20,"paseo de Alberto Palacios, San Andrés, Madrid",40.3437576,-3.7142445
21,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",40.3577222,-3.6850285
22,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
23,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
24,"paseo de Alberto Palacios, San Andrés, Madrid",40.3437576,-3.7142445
25,"calle la Dolorosa, Los Ángeles, Madrid",40.3545402,-3.6943774
26,"calle Encarnación Oviol, Los Rosales, Madrid",40.350523,-3.6877894
27,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
28,"calle Arroyo de la Bulera, 31, Butarque, Madrid",40.338156,-3.679459
29,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",40.3553618,-3.6976808
30,"calle de Juan José Martínez Seco, Los Rosales, Madrid",40.3516003,-3.6926224
31,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",40.3577222,-3.6850285
32,"calle Berrocal, Butarque, Madrid",40.3360941,-3.6774942
33,"Los Rosales, Villaverde, Madrid",40.3571948,-3.6894484
34,"calle Alcocer, Los Ángeles, Madrid",40.3492379,-3.6995254
35,"San Andrés, Villaverde, Madrid",40.3455389,-3.7109697
36,"calle Topacio, Los Rosales, Madrid",40.3499849,-3.6854695
