,id,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,floor,is_floor_under,operation,buy_price,house_type_id,is_renewal_needed,is_new_development,has_central_heating,has_individual_heating,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_terrace,has_storage_room,energy_certificate,has_parking,full_title,zip_code,latitude,longitude,zip_codes_count,hosts_count_per_zip_code,hosts_distribution_per_zip_code,average_reviews_per_month_per_code,price_per_m2,buy_for_rent_ratio
0,21742,SAN CRISTOBAL,64.0,60.0,2,1.0,3,0.0,sale,85000,HouseType 1: Pisos,0,0.0,,,1.0,,0.0,1.0,,,D,0,"calle de Godella, 64, San Cristóbal, Madrid",28021,40.3431721,-3.6890907,94,70,0.25531914893617025,21.619672131147542,1308.89,0.3598468931690211
1,21741,LOS ANGELES,70.0,,3,1.0,4,0.0,sale,129900,HouseType 1: Pisos,1,0.0,,,,1.0,1.0,1.0,1.0,,en trámite,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041,40.3553618,-3.6976808,109,87,0.2018348623853211,25.850704225352114,1796.68,0.37068370550125784
6,21698,LOS ANGELES,103.0,,4,2.0,1,0.0,sale,171900,HouseType 1: Pisos,0,0.0,,,,,1.0,1.0,,1.0,en trámite,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041,40.3553618,-3.6976808,109,87,0.2018348623853211,25.850704225352114,1796.68,0.4580671015428457
11,21463,LOS ANGELES,65.0,,2,1.0,Bajo,1.0,sale,109000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,1.0,1.0,,,en trámite,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041,40.3553618,-3.6976808,109,87,0.2018348623853211,25.850704225352114,1796.68,0.32226105928712956
16,21189,LOS ANGELES,72.0,68.0,2,1.0,3,0.0,sale,139000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,,,no indicado,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041,40.3553618,-3.6976808,109,87,0.2018348623853211,25.850704225352114,1796.68,0.3907206625553799
21,21106,LOS ANGELES,75.0,68.0,3,1.0,Entreplanta exterior,1.0,sale,140000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,1.0,1.0,,1.0,en trámite,0,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041,40.3553618,-3.6976808,109,87,0.2018348623853211,25.850704225352114,1796.68,0.39239040897655675
26,21738,LOS ROSALES,108.0,90.0,2,2.0,4,0.0,sale,260000,HouseType 1: Pisos,0,0.0,,,1.0,1.0,1.0,1.0,,1.0,en trámite,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021,40.3577222,-3.6850285,94,70,0.25531914893617025,21.619672131147542,1827.79,0.5985370310593668
31,21711,LOS ROSALES,123.0,,3,2.0,7,0.0,sale,298000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,1.0,en trámite,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021,40.3577222,-3.6850285,94,70,0.25531914893617025,21.619672131147542,1827.79,0.6537950202156703
36,21695,LOS ROSALES,120.0,,3,2.0,7,0.0,sale,298000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,,,1.0,en trámite,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021,40.3577222,-3.6850285,94,70,0.25531914893617025,21.619672131147542,1827.79,0.6537950202156703
41,21120,LOS ROSALES,98.0,80.0,2,2.0,4,0.0,sale,257000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,E,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021,40.3577222,-3.6850285,94,70,0.25531914893617025,21.619672131147542,1827.79,0.5941601606311447
46,21038,LOS ROSALES,122.0,,3,2.0,1,0.0,sale,280000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,C,1,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021,40.3577222,-3.6850285,94,70,0.25531914893617025,21.619672131147542,1827.79,0.6280809064498657
3223,21733,LOS ROSALES,85.0,,2,1.0,7,0.0,sale,131400,HouseType 1: Pisos,1,0.0,0.0,1.0,,,0.0,1.0,1.0,,en trámite,0,"calle de Martinez Oviol, Los Rosales, Madrid",28021,40.35099,-3.6884995,94,70,0.25531914893617025,21.619672131147542,1827.79,0.3676571159706531
3225,21653,LOS ROSALES,110.0,,4,2.0,1,0.0,sale,175000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,0.0,1.0,1.0,,E,0,"calle de Martinez Oviol, Los Rosales, Madrid",28021,40.35099,-3.6884995,94,70,0.25531914893617025,21.619672131147542,1827.79,0.45574163333862205
3227,21730,LOS ROSALES,123.0,104.0,3,2.0,4,0.0,sale,195000,HouseType 1: Pisos,0,0.0,,,1.0,1.0,1.0,1.0,,,D,0,"calle de la Unanimidad, 67, Los Rosales, Madrid",28021,40.3612968,-3.6916584,94,70,0.25531914893617025,21.619672131147542,1827.79,0.4929450319785096
3228,21729,LOS ANGELES,109.0,90.0,3,2.0,3,0.0,sale,205000,HouseType 1: Pisos,0,0.0,,,,1.0,1.0,1.0,1.0,1.0,E,0,"calle de Anoeta, 63, Los Ángeles, Madrid",28041,40.35101745,-3.701777508622853,109,87,0.2018348623853211,25.850704225352114,1796.68,0.5192911369859964
3229,21728,SAN CRISTOBAL,64.0,,3,1.0,3,0.0,sale,72000,HouseType 1: Pisos,0,0.0,0.0,1.0,,,0.0,1.0,1.0,,F,0,"calle GODELLA, San Cristóbal, Madrid",28021,40.3405118,-3.6881634,94,70,0.25531914893617025,21.619672131147542,1308.89,0.3117145061846297
3231,21097,SAN CRISTOBAL,70.0,,3,1.0,2,0.0,sale,108000,HouseType 1: Pisos,0,0.0,0.0,1.0,,1.0,0.0,1.0,,,en trámite,0,"calle GODELLA, San Cristóbal, Madrid",28021,40.3405118,-3.6881634,94,70,0.25531914893617025,21.619672131147542,1308.89,0.4385395258577879
3233,21727,LOS ROSALES,115.0,,3,1.0,3,0.0,sale,160000,HouseType 1: Pisos,0,0.0,0.0,1.0,1.0,,,1.0,1.0,1.0,en trámite,0,"calle San Macario, Los Rosales, Madrid",28021,40.3525934,-3.6901698,94,70,0.25531914893617025,21.619672131147542,1827.79,0.4267448667516509
4334,21714,LOS ROSALES,65.0,63.0,3,1.0,1,0.0,sale,150000,HouseType 1: Pisos,1,0.0,0.0,1.0,,1.0,1.0,1.0,,,en trámite,0,"calle Villajoyosa, Los Rosales, Madrid",28021,40.3561428,-3.6909651,94,70,0.25531914893617025,21.619672131147542,1827.79,0.4070489498246516
4342,21502,LOS ROSALES,71.0,,3,1.0,1,0.0,sale,149000,HouseType 1: Pisos,0,0.0,,,,,1.0,1.0,,,E,0,"calle Villajoyosa, Los Rosales, Madrid",28021,40.3561428,-3.6909651,94,70,0.25531914893617025,21.619672131147542,1827.79,0.4048605146105406
4350,21501,LOS ROSALES,70.0,,3,1.0,3,0.0,sale,135000,HouseType 1: Pisos,1,0.0,0.0,1.0,,,1.0,1.0,,,E,0,"calle Villajoyosa, Los Rosales, Madrid",28021,40.3561428,-3.6909651,94,70,0.25531914893617025,21.619672131147542,1827.79,0.3753166392200417
4358,21413,LOS ROSALES,56.0,,3,1.0,1,0.0,sale,100000,HouseType 1: Pisos,0,0.0,,,,,1.0,1.0,1.0,,en trámite,0,"calle Villajoyosa, Los Rosales, Madrid",28021,40.3561428,-3.6909651,94,70,0.25531914893617025,21.619672131147542,1827.79,0.2948916451014613
