,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east,full_title,zip_code,latitude,longitude
0,21742,"calle de Godella, 64",SAN CRISTOBAL,64.0,60.0,2,1.0,,,"Calle de Godella, 64",False,Calle de Godella,64,,3,False,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,,False,85000,1328,True,HouseType 1: Pisos,False,False,1960.0,,,,True,,False,True,,,,,,,,,,D,False,,,,,False,True,False,False,"calle de Godella, 64, San Cristóbal, Madrid",28021.0,40.3431721,-3.6890907
1,21741,calle de la del Manojo de Rosas,LOS ANGELES,70.0,,3,1.0,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,4,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,,False,129900,1856,True,HouseType 1: Pisos,True,False,,,,,,True,True,True,,,True,,,,,,,en trámite,False,,,,,,,,,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041.0,40.3553618,-3.6976808
6,21698,calle de la del Manojo de Rosas,LOS ANGELES,103.0,,4,2.0,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,1,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,823,,False,171900,1669,True,HouseType 1: Pisos,False,False,,,,,,,True,True,,,,,True,,,,,en trámite,False,,,,,,,,,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041.0,40.3553618,-3.6976808
11,21463,calle de la del Manojo de Rosas,LOS ANGELES,65.0,,2,1.0,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,Bajo,True,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,579,,False,109000,1677,True,HouseType 1: Pisos,False,False,1950.0,False,True,,,,True,True,,,,,,,,True,,en trámite,False,,,,,,,,,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041.0,40.3553618,-3.6976808
16,21189,calle de la del Manojo de Rosas,LOS ANGELES,72.0,68.0,2,1.0,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,3,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,702,,False,139000,1931,True,HouseType 1: Pisos,False,False,,False,True,,,True,True,True,,,,,,,,,,no indicado,False,,,,,,,,,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041.0,40.3553618,-3.6976808
21,21106,calle de la del Manojo de Rosas,LOS ANGELES,75.0,68.0,3,1.0,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,Entreplanta exterior,True,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,705,,False,140000,1867,True,HouseType 1: Pisos,False,False,1970.0,False,True,,,True,True,True,,,,,True,,,True,,en trámite,False,,,,,False,False,True,True,"calle de la del Manojo de Rosas, Los Ángeles, Madrid",28041.0,40.3553618,-3.6976808
26,21738,carretera de Villaverde a Vallecas,LOS ROSALES,108.0,90.0,2,2.0,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,4,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,,False,260000,2407,True,HouseType 1: Pisos,False,False,2003.0,,,,True,True,True,True,,True,,,True,,,,True,en trámite,True,,,True,0.0,True,True,True,True,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021.0,40.3577222,-3.6850285
31,21711,carretera de Villaverde a Vallecas,LOS ROSALES,123.0,,3,2.0,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,7,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1195,,False,298000,2423,True,HouseType 1: Pisos,False,False,2002.0,False,True,,True,True,True,True,,True,,,True,,,,,en trámite,True,,,True,0.0,,,,,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021.0,40.3577222,-3.6850285
36,21695,carretera de Villaverde a Vallecas,LOS ROSALES,120.0,,3,2.0,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,7,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1195,,False,298000,2483,True,HouseType 1: Pisos,False,False,,False,True,,True,True,True,,,True,,,True,,,,,en trámite,True,,,True,0.0,,,,,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021.0,40.3577222,-3.6850285
41,21120,carretera de Villaverde a Vallecas,LOS ROSALES,98.0,80.0,2,2.0,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,4,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1086,,False,257000,2622,True,HouseType 1: Pisos,False,False,2003.0,False,True,,True,True,True,True,,True,True,True,True,,,,True,E,True,,,True,0.0,False,True,True,False,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021.0,40.3577222,-3.6850285
46,21038,carretera de Villaverde a Vallecas,LOS ROSALES,122.0,,3,2.0,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,1,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1148,,False,280000,2295,True,HouseType 1: Pisos,False,False,2004.0,False,True,,True,True,True,True,,True,True,,True,,,True,True,C,True,,,True,0.0,False,True,False,True,"carretera de Villaverde a Vallecas, Los Rosales, Madrid",28021.0,40.3577222,-3.6850285
3223,21733,calle de Martinez Oviol,LOS ROSALES,85.0,,2,1.0,,,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,,7,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,,False,131400,1546,True,HouseType 1: Pisos,True,False,1950.0,False,True,,,,False,True,,,True,,,,,,,en trámite,False,,,,,False,True,False,False,"calle de Martinez Oviol, Los Rosales, Madrid",28021.0,40.35099,-3.6884995
3225,21653,calle de Martinez Oviol,LOS ROSALES,110.0,,4,2.0,,,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,,1,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,833,,False,175000,1591,True,HouseType 1: Pisos,False,False,1978.0,False,True,,,True,False,True,,,True,True,,,,,,E,False,,,,,,,,,"calle de Martinez Oviol, Los Rosales, Madrid",28021.0,40.35099,-3.6884995
